ID,ФИО,Телефон,Тариф,Скидка,Минуты,День,Месяц,Год
8,Абонент18,062-235,4.79492,5,191,4,2,2025
6,Абонент10,062-206,4.71117,16,160,16,2,2026
16,Абонент17,062-245,2.476,13,198,7,2,2026
9,Абонент5,062-311,3.81881,17,117,9,11,2026
7,Абонент5,062-318,4.78271,17,84,4,3,2025
2,Абонент12,062-210,1.82803,9,195,16,8,2027
10,Абонент8,062-167,1.70522,15,192,25,12,2025
1,Абонент11,062-222,4.34275,10,69,12,2,2025
12,Абонент2,062-211,4.21213,9,63,27,1,2027
15,Абонент19,062-287,4.65966,7,51,5,3,2025
3,Абонент20,062-189,3.92367,16,65,22,11,2025
14,Абонент16,062-167,2.06131,3,97,16,3,2025
13,Абонент7,062-148,3.44856,5,59,16,2,2026
11,Абонент16,062-225,2.47563,13,49,5,3,2025
5,Абонент4,062-183,1.39833,8,67,21,1,2025
4,Абонент17,062-143,1.16102,7,43,7,1,2026
